SMILES,ERRORS
OC(=O)[C@H](CC[C@]1(O)CNC1=O)N,SUCCESS
N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)Cl,SUCCESS
O=C1[C@@H](NC(=O)c2c(C)onc2c2c(F)cccc2Cl)[C@@H]2N1[C@@H](C(=O)O)C(S2)(C)C,SUCCESS
C=N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,SUCCESS
CCN1CCN(C(=O)C1=O)C(=O)N[C@H](c1ccc(cc1)O)C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C,SUCCESS
O=C([C@@H](c1ccccc1)O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1CS(=O)(=O)O,SUCCESS
C[C@H]([C@H]1C(=O)N2[C@@H]1[C@@H](C)C(=C2C(=O)O)S[C@@H]1CN[C@@H](C1)C(=O)N(C)C)O,SUCCESS
O=C([C@@H](c1ccc(cc1)O)N)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,SUCCESS
CCOC(=O)OC(OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)NC(=O)[C@@H](c1ccccc1)N)C,SUCCESS
O=C([C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)/N=C/N1CCCCCC1)OCOC(=O)C(C)(C)C,SUCCESS
O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nncs1)Cn1cnnn1,SUCCESS
CO[C@@]1(NC(=O)CSC[C@H](C(=O)O)N)C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C,SUCCESS
COC1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)[C@@H](C1=CCC=CC1)N,SUCCESS
CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)N)/c1ccco1,SUCCESS
CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)[O-])C[n+]1cccc2c1CCC2)/c1csc(n1)N,SUCCESS
CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)Cn1nnc(n1)C)/c1csc(n1)N,SUCCESS
O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnc(s1)C)Cn1cnnn1,SUCCESS
O=C([C@@H](c1ccccc1)NC(=O)N1CCN(C1=O)S(=O)(=O)C)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,SUCCESS
CO[C@@]1(NC(=O)C(c2ccc(cc2)O)C(=O)O)C(=O)N2[C@@H]1OCC(=C2C(=O)O)CSc1nnnn1C,SUCCESS
C[C@H]([C@H]1C(=O)N2[C@@H]1[C@@H](C)C(=C2C(=O)OCOC(=O)C(C)(C)C)SC1CN(C1)C1=NCCS1)O,SUCCESS
OC(=O)[C@@H]1N2C(=O)[C@H]([C@H]2SC1(C)C)N1C(=O)[C@H](NC1(C)C)c1ccccc1,SUCCESS
C[C@H]([C@H]1C(=O)N2[C@@H]1SC(=C2C(=O)O)[C@H]1CCCO1)O,SUCCESS
O=C(N1C(=O)CC1c1ccccc1)Oc1ccccc1,SUCCESS
CO/N=C(\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)/C=C\c1scnc1C)/c1csc(n1)N,SUCCESS
