Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA,SMILES
0,11,8,0,0.475,7,1,2,28,9,3,2,2,2,3,423.056,168.439,1,125.9,O=C(N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)COC(=O)C)CSc1ccncc1
0,13,10,1,-0.226,7,1,3,31,11,4,3,2,2,3,462.078,184.414,2,150.54,O[C@@H](C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C)c1ccccc1
0,8,5,2,2.484,5,0,2,29,7,4,2,2,2,2,414.125,171.941,2,95.94,CCOc1ccc2c(c1C(=O)N[C@@H]1C(=O)N3[C@@H]1SC([C@@H]3C(=O)O)(C)C)cccc2
0,9,7,0,-1.895,4,1,1,24,8,4,1,3,3,4,350.105,142.3,1,102.37,C[C@H]([C@H]1C(=O)N2[C@@H]1[C@@H](C)C(=C2C(=O)[O-])SC1C[n+]2n(C1)cnc2)O
0,19,14,0,-1.397,9,1,5,36,15,4,4,3,3,4,575.002,218.509,1,219.93,CO[C@@]1(NC(=O)C2SC(=C(C(=O)O)C(=O)N)S2)C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C
0,17,13,0,0.999,10,2,5,37,13,4,4,2,2,4,584.028,225.71,2,197.4,CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nc(c(s1)CC(=O)O)C
0,9,6,1,0.707,5,0,5,27,8,3,4,2,2,2,389.105,159.266,1,132.96,CC=CC1=C(C(=O)O)N2[C@H](SC1)[C@@H](C2=O)NC(=O)[C@@H](c1ccc(cc1)O)N
0,12,7,0,-1.603,7,0,6,27,10,3,5,3,3,3,420.114,161.272,0,162.06,C[C@H]([C@H]1C(=O)N2[C@@H]1[C@@H](C)C(=C2C(=O)O)S[C@@H]1CN[C@@H](C1)CNS(=O)(=O)N)O
0,6,4,0,-1.961,4,0,5,13,6,1,4,1,1,1,188.08,74.724,0,112.65,OC(=O)[C@H](CC[C@]1(O)CNC1=O)N
0,9,5,1,0.621,4,0,4,24,7,3,3,2,2,2,367.039,146.369,1,112.73,N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)Cl
0,11,6,1,2.688,4,1,2,30,8,4,2,2,2,3,453.056,179.272,2,112.74,O=C1[C@@H](NC(=O)c2c(C)onc2c2c(F)cccc2Cl)[C@@H]2N1[C@@H](C(=O)O)C(S2)(C)C
0,8,5,1,1.06,5,0,2,25,7,3,2,2,2,2,361.11,149.041,1,99.07,C=N[C@H](c1ccccc1)C(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
0,19,13,1,-1.112,9,1,4,44,17,5,4,3,3,4,645.142,257.517,2,220.26,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](c1ccc(cc1)O)C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1C
0,17,12,1,-0.917,9,1,4,35,14,4,4,2,2,3,542.035,206.043,2,204.91,O=C([C@@H](c1ccccc1)O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1CS(=O)(=O)O
