Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
0,8,8,1,1.723,1,2,2,31,8,6,2,3,3,5,420.132,176.225,3,110.88
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368,0,0
0,10,7,1,1.275,3,2,5,32,9,5,3,2,2,4,455.136,188.686,3,145.82
0,8,8,1,2.377,1,2,1,33,8,7,1,4,4,6,446.148,188.268,3,99.88
0,7,7,1,1.785,1,2,2,27,7,5,2,2,2,4,364.106,153.022,3,101.65
0,11,10,2,4.01,7,2,1,44,11,7,1,3,3,5,597.211,252.096,4,129.42
0,22,18,1,3.89,21,5,5,71,22,8,5,2,2,7,976.408,406.92,6,252.77
1,14,9,1,0.328,1,2,8,39,12,6,3,3,2,4,567.169,222.149,3,224.81
0,19,16,2,4.851,19,2,6,59,16,6,6,2,2,4,910.167,354.526,4,234.26
0,7,7,1,2.62,5,2,2,32,7,5,2,2,2,4,433.2,185.603,3,93.45
0,9,8,1,2.941,3,2,1,37,8,6,1,3,3,5,502.228,215.262,3,99.88
0,11,10,1,4.35,7,2,2,46,11,6,2,3,3,5,628.29,266.707,3,140.06
0,12,10,1,1.981,5,3,1,42,11,7,1,3,3,6,587.184,241.604,4,134.93
0,11,10,1,3.324,5,2,2,43,11,6,2,3,3,5,586.243,247.612,3,140.06
1,10,9,1,2.525,3,2,2,39,10,7,2,4,3,5,527.169,221.689,3,139.03
0,8,8,1,2.767,1,2,1,34,8,7,1,4,4,6,460.163,194.633,3,99.88
0,7,7,1,2.675,3,2,1,32,7,6,1,3,3,5,431.185,184.807,3,84.66
0,8,8,1,1.827,3,2,1,34,8,6,1,3,3,5,460.211,196.932,3,87.9
0,14,12,2,5.348,7,4,2,62,12,10,2,4,4,8,866.317,359.764,6,162.84
0,11,9,2,3.71,6,2,1,45,10,7,1,3,3,5,628.236,261.479,4,122.04
0,17,15,2,4.383,19,2,5,57,15,6,5,2,2,4,816.261,335.864,4,214.03
0,12,9,2,3.074,5,2,2,42,10,6,2,2,2,4,586.132,243.012,4,128.62
0,12,10,1,2.711,7,2,3,42,11,7,3,4,4,6,590.184,244.525,3,148.85
0,9,8,1,1.988,2,2,1,29,9,5,1,2,2,4,393.096,162.881,3,124.56
0,11,9,2,2.864,6,2,2,42,10,6,2,2,2,4,582.157,245.211,4,128.62
0,12,9,2,3.54,5,2,2,42,10,6,2,2,2,4,694.038,258.108,4,128.62
0,12,10,3,4.555,8,2,2,50,11,7,2,2,2,4,688.199,291.746,5,137.85
0,7,7,1,2.932,6,2,1,31,7,5,1,2,2,4,422.184,179.754,3,82.81
0,7,7,1,2.542,5,2,1,30,7,5,1,2,2,4,408.169,173.389,3,82.81
0,12,9,2,3.588,5,2,2,42,10,6,2,2,2,4,602.103,249.149,4,128.62
0,9,8,1,3.033,5,2,1,38,9,6,1,3,3,5,517.221,219.542,3,110.96
0,14,11,1,3.95,14,2,4,52,13,7,4,4,4,6,731.299,305.156,3,177.95
0,12,9,2,3.074,5,2,2,42,10,6,2,2,2,4,586.132,243.012,4,128.62
0,13,10,3,5.036,8,3,3,53,12,8,3,2,2,5,727.21,307.637,6,153.64
0,12,9,2,4.489,7,2,2,46,10,6,2,2,2,4,642.195,268.471,4,128.62
0,12,10,2,2.944,6,2,2,43,11,6,2,2,2,4,598.152,250.324,4,137.85
0,7,6,2,4.228,2,3,2,35,7,7,2,2,2,5,463.153,199.176,5,97.21
1,11,9,1,2.811,5,2,2,40,10,6,2,3,2,4,560.173,234.608,3,128.62
0,10,9,1,1.136,7,2,2,36,10,5,2,2,2,4,492.201,207.003,3,122.99
0,12,9,2,4.099,6,2,2,45,10,6,2,2,2,4,628.179,262.106,4,128.62
0,10,9,1,1.916,9,2,2,38,10,5,2,2,2,4,520.232,219.733,3,122.99
0,12,9,2,3.854,7,2,2,44,10,6,2,2,2,4,614.164,255.741,4,128.62
0,12,10,2,4.358,8,2,2,47,11,6,2,2,2,4,654.215,275.784,4,137.85
0,12,10,1,2.997,5,3,2,40,10,6,2,2,2,5,574.098,236.486,4,128.62
0,8,8,1,1.808,1,2,1,29,8,6,1,3,3,5,392.101,163.814,3,99.88
0,8,7,2,3.623,2,3,2,35,8,7,2,2,2,5,464.148,198.364,5,110.1
0,11,9,2,3.149,6,2,1,44,10,7,1,3,3,5,614.22,255.115,4,122.04
0,7,7,1,3.698,5,2,1,34,7,5,1,2,2,4,461.231,198.543,3,84.66
0,8,8,2,3.7,5,2,2,36,8,6,2,2,2,4,483.179,206.679,4,102.68
0,11,9,2,3.243,5,2,2,42,10,6,2,2,2,4,582.157,245.211,4,128.62
0,14,10,2,1.929,4,2,6,43,13,6,4,2,2,4,604.174,245.455,4,212.55
0,13,10,2,5.089,7,4,3,50,11,8,3,2,2,6,703.156,293.799,6,144.41
0,20,17,1,2.821,27,3,3,65,19,8,3,4,4,7,918.395,380.445,4,217.51
0,12,9,2,3.074,5,2,2,42,10,6,2,2,2,4,586.132,243.012,4,128.62
0,7,7,1,3.066,3,2,1,33,7,6,1,3,3,5,445.2,191.172,3,84.66
0,7,7,2,3.369,5,2,2,35,7,6,2,2,2,4,467.185,201.565,4,93.45
0,11,9,1,3.356,7,2,2,41,10,7,2,4,4,6,574.189,239.731,3,128.62
0,8,7,2,4.345,4,2,2,35,7,6,2,2,2,4,487.13,205.503,4,93.45
0,9,8,1,2.327,6,2,1,35,9,5,1,2,2,4,477.19,201.453,3,110.96
0,12,10,1,3.745,7,3,2,45,11,6,2,2,2,5,625.2,263.525,4,141.51
0,11,9,3,4.868,7,2,2,47,10,7,2,2,2,4,646.189,274.258,5,128.62
0,11,9,1,1.641,4,2,2,36,10,5,2,2,2,4,506.126,210.154,3,128.62
0,12,9,2,3.698,5,2,2,42,10,6,2,2,2,4,646.052,252.714,4,128.62
0,9,8,1,2.081,4,2,1,35,9,6,1,3,3,5,475.174,200.447,3,110.96
0,12,9,2,3.588,5,2,2,42,10,6,2,2,2,4,602.103,249.149,4,128.62
0,12,10,1,3.387,6,3,2,41,10,6,2,2,2,5,588.114,242.851,4,128.62
0,12,9,2,4.489,7,2,2,46,10,6,2,2,2,4,642.195,268.471,4,128.62
0,12,9,2,2.725,5,2,1,43,10,7,1,3,3,5,604.179,246.55,4,122.04
0,10,9,1,2.011,5,2,1,39,10,6,1,3,3,5,532.232,225.302,3,114.2
0,11,9,3,4.477,5,2,2,46,10,7,2,2,2,4,632.173,267.893,5,128.62
0,12,9,2,4.489,7,2,2,46,10,6,2,2,2,4,642.195,268.471,4,128.62
0,12,9,3,4.685,7,2,2,49,10,7,2,2,2,4,676.179,284.434,5,128.62
0,11,9,3,4.088,5,2,2,45,10,7,2,2,2,4,618.157,261.528,5,128.62
0,12,9,3,5.151,7,2,2,49,10,7,2,2,2,4,784.085,299.53,5,128.62
0,12,9,2,4.244,8,2,2,45,10,6,2,2,2,4,628.179,262.106,4,128.62
0,12,10,1,4.021,6,3,2,43,10,6,2,2,2,5,616.145,255.581,4,128.62
0,11,9,2,3.254,7,2,2,43,10,6,2,2,2,4,596.173,251.576,4,128.62
0,12,10,1,2.33,5,3,2,41,11,6,2,2,2,5,569.137,238.066,4,141.51
0,13,9,3,5.167,7,3,3,52,11,8,3,2,2,5,715.19,300.324,6,144.41
1,11,9,1,3.202,5,2,2,41,10,6,2,3,2,4,574.189,240.973,3,128.62
0,12,9,2,3.464,6,2,2,43,10,6,2,2,2,4,600.148,249.376,4,128.62
0,12,9,2,3.463,5,2,2,43,10,6,2,2,2,4,600.148,249.376,4,128.62
0,13,11,1,3.452,8,3,2,45,11,6,2,2,2,5,643.156,267.284,4,141.51
0,12,9,2,3.979,6,2,2,43,10,6,2,2,2,4,616.118,255.514,4,128.62
0,11,9,2,3.632,5,2,2,43,10,6,2,2,2,4,596.173,251.576,4,128.62
0,12,9,2,4.489,7,2,2,46,10,6,2,2,2,4,642.195,268.471,4,128.62
0,10,9,1,1.478,7,2,1,37,10,5,1,2,2,4,506.217,213.578,3,114.2
0,10,9,1,1.232,4,2,1,37,10,6,1,3,3,5,504.201,212.572,3,114.2
0,12,10,1,2.528,5,3,2,40,11,6,2,2,2,5,558.121,231.64,4,141.76
0,13,10,2,4.196,8,2,2,46,10,6,2,2,2,4,660.151,272.229,4,128.62
0,17,14,1,3.333,19,3,3,58,16,8,3,4,4,7,814.347,339.645,4,189.82
0,9,8,1,2.471,4,2,1,36,9,6,1,3,3,5,489.19,206.812,3,110.96
0,13,11,1,4.118,8,3,2,44,10,6,2,2,2,5,648.117,265.704,4,128.62
0,9,8,1,2.643,5,2,1,37,9,6,1,3,3,5,503.206,213.177,3,110.96
0,13,11,2,4.065,9,2,2,47,11,6,2,2,2,4,672.171,279.542,4,137.85
0,12,9,2,4.759,8,2,2,45,10,6,2,2,2,4,644.15,268.244,4,128.62
